voxel_col,x,y,z
0,17,11,3
1,17,12,3
2,18,12,3
3,15,13,3
4,16,13,3
5,17,13,3
6,15,14,3
7,16,14,3
8,15,15,3
9,21,9,4
10,22,9,4
11,19,10,4
12,20,10,4
13,21,10,4
14,22,10,4
15,31,10,4
16,19,11,4
17,20,11,4
18,21,11,4
19,22,11,4
20,23,11,4
21,24,11,4
22,25,11,4
23,26,11,4
24,19,12,4
25,20,12,4
26,21,12,4
27,22,12,4
28,23,12,4
29,24,12,4
30,25,12,4
31,18,13,4
32,19,13,4
33,20,13,4
34,21,13,4
35,22,13,4
36,23,13,4
37,24,13,4
38,25,13,4
39,26,13,4
40,16,14,4
41,17,14,4
42,18,14,4
43,19,14,4
44,20,14,4
45,21,14,4
46,22,14,4
47,23,14,4
48,24,14,4
49,25,14,4
50,26,14,4
51,27,14,4
52,28,14,4
53,29,14,4
54,16,15,4
55,17,15,4
56,18,15,4
57,19,15,4
58,20,15,4
59,21,15,4
60,22,15,4
61,24,15,4
62,16,16,4
63,17,16,4
64,18,16,4
65,19,16,4
66,20,16,4
67,21,16,4
68,16,17,4
69,17,17,4
70,18,17,4
71,19,17,4
72,20,17,4
73,21,17,4
74,16,18,4
75,17,18,4
76,18,18,4
77,19,18,4
78,20,18,4
79,16,19,4
80,17,19,4
81,18,19,4
82,19,19,4
83,16,20,4
84,17,20,4
85,18,20,4
86,19,20,4
87,12,21,4
88,14,21,4
89,15,21,4
90,16,21,4
91,17,21,4
92,18,21,4
93,12,22,4
94,13,22,4
95,14,22,4
96,16,22,4
97,17,22,4
98,18,22,4
99,13,23,4
100,14,23,4
101,16,23,4
102,17,23,4
103,18,23,4
104,19,23,4
105,13,24,4
106,14,24,4
107,15,24,4
108,16,24,4
109,17,24,4
110,18,24,4
111,14,25,4
112,16,25,4
113,17,25,4
114,16,26,4
115,17,26,4
116,16,27,4
117,17,27,4
118,8,31,4
119,9,31,4
120,10,31,4
121,11,31,4
122,12,31,4
123,13,31,4
124,14,31,4
125,8,32,4
126,9,32,4
127,10,32,4
128,12,32,4
129,13,32,4
130,14,32,4
131,8,33,4
132,9,33,4
133,10,33,4
134,12,33,4
135,32,8,5
136,33,8,5
137,29,9,5
138,22,10,5
139,23,10,5
140,28,10,5
141,30,10,5
142,31,10,5
143,32,10,5
144,22,11,5
145,23,11,5
146,24,11,5
147,25,11,5
148,26,11,5
149,27,11,5
150,28,11,5
151,29,11,5
152,30,11,5
153,31,11,5
154,32,11,5
155,18,12,5
156,20,12,5
157,21,12,5
158,22,12,5
159,23,12,5
160,24,12,5
161,25,12,5
162,26,12,5
163,27,12,5
164,28,12,5
165,29,12,5
166,30,12,5
167,31,12,5
168,32,12,5
169,33,12,5
170,20,13,5
171,21,13,5
172,22,13,5
173,23,13,5
174,24,13,5
175,25,13,5
176,26,13,5
177,27,13,5
178,28,13,5
179,29,13,5
180,30,13,5
181,31,13,5
182,32,13,5
183,33,13,5
184,19,14,5
185,20,14,5
186,21,14,5
187,22,14,5
188,23,14,5
189,24,14,5
190,25,14,5
191,26,14,5
192,27,14,5
193,28,14,5
194,29,14,5
195,30,14,5
196,31,14,5
197,32,14,5
198,33,14,5
199,34,14,5
200,36,14,5
201,37,14,5
202,16,15,5
203,17,15,5
204,18,15,5
205,19,15,5
206,20,15,5
207,21,15,5
208,22,15,5
209,23,15,5
210,24,15,5
211,25,15,5
212,26,15,5
213,27,15,5
214,28,15,5
215,29,15,5
216,30,15,5
217,35,15,5
218,36,15,5
219,37,15,5
220,38,15,5
221,39,15,5
222,15,16,5
223,16,16,5
224,17,16,5
225,18,16,5
226,19,16,5
227,20,16,5
228,21,16,5
229,22,16,5
230,23,16,5
231,24,16,5
232,25,16,5
233,26,16,5
234,27,16,5
235,28,16,5
236,29,16,5
237,30,16,5
238,31,16,5
239,34,16,5
240,35,16,5
241,36,16,5
242,38,16,5
243,39,16,5
244,40,16,5
245,42,16,5
246,13,17,5
247,14,17,5
248,15,17,5
249,16,17,5
250,17,17,5
251,18,17,5
252,19,17,5
253,20,17,5
254,21,17,5
255,22,17,5
256,23,17,5
257,25,17,5
258,26,17,5
259,27,17,5
260,28,17,5
261,29,17,5
262,30,17,5
263,31,17,5
264,32,17,5
265,33,17,5
266,34,17,5
267,35,17,5
268,36,17,5
269,40,17,5
270,12,18,5
271,15,18,5
272,16,18,5
273,17,18,5
274,18,18,5
275,19,18,5
276,20,18,5
277,21,18,5
278,22,18,5
279,23,18,5
280,25,18,5
281,26,18,5
282,27,18,5
283,28,18,5
284,29,18,5
285,30,18,5
286,31,18,5
287,32,18,5
288,33,18,5
289,35,18,5
290,36,18,5
291,37,18,5
292,39,18,5
293,43,18,5
294,9,19,5
295,10,19,5
296,11,19,5
297,12,19,5
298,14,19,5
299,15,19,5
300,16,19,5
301,17,19,5
302,18,19,5
303,19,19,5
304,20,19,5
305,21,19,5
306,22,19,5
307,23,19,5
308,25,19,5
309,26,19,5
310,27,19,5
311,28,19,5
312,30,19,5
313,31,19,5
314,32,19,5
315,33,19,5
316,34,19,5
317,35,19,5
318,36,19,5
319,38,19,5
320,39,19,5
321,40,19,5
322,42,19,5
323,43,19,5
324,9,20,5
325,10,20,5
326,11,20,5
327,12,20,5
328,13,20,5
329,14,20,5
330,15,20,5
331,16,20,5
332,17,20,5
333,18,20,5
334,19,20,5
335,20,20,5
336,21,20,5
337,22,20,5
338,23,20,5
339,25,20,5
340,26,20,5
341,27,20,5
342,28,20,5
343,30,20,5
344,31,20,5
345,32,20,5
346,33,20,5
347,34,20,5
348,35,20,5
349,36,20,5
350,37,20,5
351,38,20,5
352,39,20,5
353,40,20,5
354,41,20,5
355,42,20,5
356,43,20,5
357,44,20,5
358,10,21,5
359,11,21,5
360,12,21,5
361,13,21,5
362,14,21,5
363,15,21,5
364,16,21,5
365,17,21,5
366,18,21,5
367,19,21,5
368,20,21,5
369,21,21,5
370,22,21,5
371,30,21,5
372,31,21,5
373,32,21,5
374,33,21,5
375,34,21,5
376,35,21,5
377,36,21,5
378,37,21,5
379,38,21,5
380,39,21,5
381,40,21,5
382,41,21,5
383,42,21,5
384,43,21,5
385,10,22,5
386,11,22,5
387,12,22,5
388,13,22,5
389,14,22,5
390,15,22,5
391,16,22,5
392,17,22,5
393,18,22,5
394,19,22,5
395,20,22,5
396,21,22,5
397,22,22,5
398,26,22,5
399,27,22,5
400,28,22,5
401,31,22,5
402,32,22,5
403,33,22,5
404,34,22,5
405,35,22,5
406,36,22,5
407,37,22,5
408,38,22,5
409,39,22,5
410,40,22,5
411,41,22,5
412,11,23,5
413,12,23,5
414,13,23,5
415,14,23,5
416,15,23,5
417,16,23,5
418,17,23,5
419,18,23,5
420,19,23,5
421,20,23,5
422,21,23,5
423,22,23,5
424,23,23,5
425,24,23,5
426,26,23,5
427,27,23,5
428,28,23,5
429,29,23,5
430,30,23,5
431,31,23,5
432,32,23,5
433,33,23,5
434,34,23,5
435,35,23,5
436,36,23,5
437,37,23,5
438,38,23,5
439,39,23,5
440,40,23,5
441,11,24,5
442,12,24,5
443,13,24,5
444,14,24,5
445,15,24,5
446,16,24,5
447,17,24,5
448,18,24,5
449,19,24,5
450,20,24,5
451,21,24,5
452,22,24,5
453,23,24,5
454,26,24,5
455,27,24,5
456,29,24,5
457,30,24,5
458,31,24,5
459,32,24,5
460,33,24,5
461,34,24,5
462,35,24,5
463,36,24,5
464,37,24,5
465,38,24,5
466,39,24,5
467,12,25,5
468,13,25,5
469,14,25,5
470,15,25,5
471,16,25,5
472,17,25,5
473,18,25,5
474,19,25,5
475,20,25,5
476,21,25,5
477,22,25,5
478,29,25,5
479,30,25,5
480,31,25,5
481,32,25,5
482,33,25,5
483,34,25,5
484,35,25,5
485,36,25,5
486,37,25,5
487,38,25,5
488,39,25,5
489,13,26,5
490,14,26,5
491,15,26,5
492,16,26,5
493,17,26,5
494,18,26,5
495,19,26,5
496,20,26,5
497,21,26,5
498,22,26,5
499,30,26,5
500,31,26,5
501,32,26,5
502,33,26,5
503,34,26,5
504,35,26,5
505,36,26,5
506,37,26,5
507,38,26,5
508,13,27,5
509,14,27,5
510,15,27,5
511,16,27,5
512,17,27,5
513,18,27,5
514,19,27,5
515,20,27,5
516,31,27,5
517,32,27,5
518,33,27,5
519,34,27,5
520,35,27,5
521,36,27,5
522,37,27,5
523,13,28,5
524,14,28,5
525,16,28,5
526,20,28,5
527,32,28,5
528,33,28,5
529,34,28,5
530,35,28,5
531,36,28,5
532,7,29,5
533,8,29,5
534,9,29,5
535,12,29,5
536,13,29,5
537,14,29,5
538,15,29,5
539,16,29,5
540,19,29,5
541,20,29,5
542,35,29,5
543,36,29,5
544,37,29,5
545,38,29,5
546,39,29,5
547,40,29,5
548,7,30,5
549,8,30,5
550,9,30,5
551,14,30,5
552,15,30,5
553,16,30,5
554,17,30,5
555,18,30,5
556,19,30,5
557,36,30,5
558,37,30,5
559,38,30,5
560,42,30,5
561,43,30,5
562,44,30,5
563,45,30,5
564,7,31,5
565,8,31,5
566,9,31,5
567,14,31,5
568,15,31,5
569,16,31,5
570,17,31,5
571,18,31,5
572,19,31,5
573,32,31,5
574,33,31,5
575,36,31,5
576,37,31,5
577,38,31,5
578,42,31,5
579,43,31,5
580,44,31,5
581,45,31,5
582,6,32,5
583,7,32,5
584,8,32,5
585,9,32,5
586,10,32,5
587,14,32,5
588,15,32,5
589,16,32,5
590,17,32,5
591,20,32,5
592,32,32,5
593,33,32,5
594,34,32,5
595,35,32,5
596,36,32,5
597,37,32,5
598,38,32,5
599,41,32,5
600,43,32,5
601,44,32,5
602,45,32,5
603,6,33,5
604,7,33,5
605,8,33,5
606,9,33,5
607,14,33,5
608,15,33,5
609,16,33,5
610,17,33,5
611,19,33,5
612,20,33,5
613,34,33,5
614,35,33,5
615,36,33,5
616,37,33,5
617,43,33,5
618,44,33,5
619,6,34,5
620,7,34,5
621,8,34,5
622,9,34,5
623,10,34,5
624,17,34,5
625,18,34,5
626,19,34,5
627,35,34,5
628,36,34,5
629,42,34,5
630,43,34,5
631,44,34,5
632,6,35,5
633,7,35,5
634,8,35,5
635,9,35,5
636,10,35,5
637,11,35,5
638,17,35,5
639,18,35,5
640,42,35,5
641,43,35,5
642,44,35,5
643,7,36,5
644,8,36,5
645,9,36,5
646,10,36,5
647,11,36,5
648,17,36,5
649,18,36,5
650,19,36,5
651,42,36,5
652,43,36,5
653,8,37,5
654,9,37,5
655,10,37,5
656,11,37,5
657,12,37,5
658,42,37,5
659,43,37,5
660,8,38,5
661,9,38,5
662,10,38,5
663,11,38,5
664,12,38,5
665,42,38,5
666,9,39,5
667,10,39,5
668,11,39,5
669,12,39,5
670,15,39,5
671,16,39,5
672,9,40,5
673,10,40,5
674,11,40,5
675,12,40,5
676,15,40,5
677,16,40,5
678,18,40,5
679,10,41,5
680,12,41,5
681,13,41,5
682,15,41,5
683,16,41,5
684,17,41,5
685,18,41,5
686,36,8,6
687,37,8,6
688,17,9,6
689,18,9,6
690,33,9,6
691,34,9,6
692,36,9,6
693,37,9,6
694,38,9,6
695,15,10,6
696,16,10,6
697,17,10,6
698,18,10,6
699,29,10,6
700,30,10,6
701,32,10,6
702,33,10,6
703,34,10,6
704,36,10,6
705,37,10,6
706,38,10,6
707,28,11,6
708,29,11,6
709,31,11,6
710,32,11,6
711,33,11,6
712,34,11,6
713,36,11,6
714,37,11,6
715,38,11,6
716,39,11,6
717,17,12,6
718,23,12,6
719,25,12,6
720,27,12,6
721,28,12,6
722,29,12,6
723,30,12,6
724,31,12,6
725,32,12,6
726,33,12,6
727,36,12,6
728,37,12,6
729,38,12,6
