,voxel_col,x,y,z
155,155,18,12,5
169,169,33,12,5
1677,1677,8,19,7
1646,1646,8,18,7
6904,6904,45,27,12
6914,6914,45,28,12
1678,1678,9,19,7
1647,1647,9,18,7
264,264,32,17,5
238,238,31,16,5
993,993,10,21,6
955,955,10,20,6
6478,6478,24,8,12
6503,6503,24,9,12
8447,8447,24,14,14
8481,8481,24,15,14
7125,7125,24,46,12
7108,7108,24,45,12
877,877,9,18,6
842,842,9,17,6
4832,4832,40,30,10
4831,4831,39,30,10
1614,1614,8,17,7
8719,8719,24,25,14
8704,8704,24,24,14
843,843,10,17,6
878,878,10,18,6
325,325,10,20,5
358,358,10,21,5
389,389,14,22,5
415,415,14,23,5
812,812,9,16,6
876,876,8,18,6
841,841,42,16,6
992,992,9,21,6
954,954,9,20,6
915,915,9,19,6
7676,7676,23,19,13
7697,7697,23,20,13
4507,4507,22,16,10
4482,4482,22,15,10
4454,4454,20,14,10
4431,4431,20,13,10
7655,7655,23,18,13
4497,4497,42,15,10
4496,4496,41,15,10
5505,5505,23,10,11
5477,5477,23,9,11
916,916,10,19,6
417,417,16,23,5
391,391,16,22,5
217,217,35,15,5
199,199,34,14,5
324,324,9,20,5
294,294,9,19,5
3315,3315,25,12,9
3337,3337,25,13,9
8735,8735,24,26,14
8749,8749,10,27,14
4833,4833,41,30,10
1175,1175,19,28,6
1176,1176,32,28,6
326,326,11,20,5
359,359,11,21,5
7507,7507,23,13,13
8414,8414,23,13,14
390,390,15,22,5
416,416,15,23,5
1676,1676,7,19,7
1645,1645,7,18,7
1863,1863,42,24,7
1864,1864,43,24,7
10724,10724,24,26,16
10693,10693,24,25,16
10311,10311,21,11,16
10302,10302,21,10,16
5892,5892,42,28,11
5893,5893,43,28,11
9290,9290,22,10,15
9310,9310,22,11,15
385,385,10,22,5
156,156,20,12,5
170,170,20,13,5
386,386,11,22,5
7539,7539,23,14,13
914,914,8,19,6
6761,6761,22,19,12
6737,6737,22,18,12
1832,1832,42,23,7
1831,1831,41,23,7
1615,1615,9,17,7
9576,9576,23,20,15
9601,9601,23,21,15
1862,1862,36,24,7
413,413,12,23,5
387,387,12,22,5
81,81,18,19,4
85,85,18,20,4
388,388,13,22,5
414,414,13,23,5
4776,4776,42,28,10
4777,4777,43,28,10
5849,5849,42,26,11
5848,5848,41,26,11
6738,6738,23,18,12
6763,6763,25,19,12
8718,8718,10,25,14
8734,8734,10,26,14
813,813,10,16,6
811,811,42,15,6
4290,4290,23,7,10
4315,4315,23,8,10
8686,8686,24,23,14
1799,1799,41,22,7
1800,1800,42,22,7
1613,1613,44,16,7
953,953,8,20,6
7135,7135,9,47,12
7136,7136,10,47,12
4390,4390,26,11,10
4367,4367,26,10,10
1592,1592,20,16,7
1622,1622,20,17,7
10021,10021,23,41,15
10040,10040,23,42,15
1582,1582,43,15,7
295,295,10,19,5
10666,10666,24,24,16
1798,1798,36,22,7
5632,5632,41,15,11
5631,5631,40,15,11
10249,10249,18,51,15
10248,10248,17,51,15
2426,2426,20,15,8
2403,2403,20,14,8
821,821,18,16,6
851,851,18,17,6
2427,2427,21,15,8
2453,2453,21,16,8
3429,3429,28,17,9
3428,3428,27,17,9
4339,4339,23,9,10
4364,4364,23,10,10
10041,10041,24,42,15
10022,10022,24,41,15
12254,12254,23,20,18
12229,12229,23,19,18
10411,10411,24,15,16
10382,10382,24,14,16
360,360,12,21,5
7718,7718,23,21,13
8472,8472,15,15,14
8438,8438,15,14,14
735,735,20,13,6
759,759,20,14,6
4437,4437,28,13,10
4416,4416,28,12,10
780,780,41,14,6
10381,10381,23,14,16
10410,10410,23,15,16
8385,8385,24,12,14
9311,9311,23,11,15
844,844,11,17,6
814,814,11,16,6
11875,11875,23,37,17
11848,11848,23,36,17
5838,5838,8,26,11
5839,5839,9,26,11
7630,7630,23,17,13
9884,9884,23,34,15
9885,9885,24,34,15
11499,11499,40,21,17
11473,11473,40,20,17
11445,11445,40,19,17
815,815,12,16,6
845,845,12,17,6
9418,9418,15,15,15
9386,9386,15,14,15
8586,8586,43,18,14
8610,8610,43,19,14
1113,1113,41,24,6
1114,1114,42,24,6
357,357,44,20,5
150,150,28,11,5
164,164,28,12,5
2248,2248,20,6,8
2249,2249,22,6,8
9308,9308,20,11,15
9331,9331,20,12,15
9586,9586,40,20,15
9562,9562,40,19,15
2501,2501,11,18,8
2476,2476,12,17,8
4408,4408,15,12,10
4430,4430,19,13,10
12278,12278,23,21,18
9623,9623,23,22,15
2406,2406,23,14,8
2430,2430,26,15,8
4456,4456,22,14,10
65,65,19,16,4
71,71,19,17,4
12890,12890,35,26,19
12913,12913,35,27,19
6705,6705,9,17,12
7621,7621,9,17,13
11336,11336,16,16,17
11310,11310,16,15,17
2582,2582,42,21,8
2581,2581,32,21,8
5476,5476,22,9,11
5504,5504,22,10,11
2243,2243,30,5,8
2259,2259,15,7,8
12912,12912,34,27,19
77,77,19,18,4
2603,2603,42,22,8
2604,2604,43,22,8
4471,4471,42,14,10
1765,1765,41,21,7
1764,1764,36,21,7
7604,7604,24,16,13
7631,7631,24,17,13
4409,4409,20,12,10
3338,3338,26,13,9
253,253,20,17,5
227,227,20,16,5
2571,2571,20,21,8
2570,2570,19,21,8
3136,3136,15,53,8
3126,3126,15,52,8
1529,1529,10,14,7
1554,1554,10,15,7
3633,3633,42,27,9
3632,3632,41,27,9
6614,6614,24,13,12
6587,6587,24,12,12
8598,8598,24,19,14
8621,8621,24,20,14
11361,11361,13,17,17
11392,11392,13,18,17
7107,7107,14,45,12
7124,7124,15,46,12
4821,4821,20,30,10
4850,4850,20,31,10
9644,9644,23,23,15
228,228,21,16,5
254,254,21,17,5
7477,7477,24,12,13
7447,7447,24,11,13
994,994,11,21,6
1029,1029,9,22,6
7696,7696,22,20,13
7675,7675,22,19,13
4363,4363,22,10,10
4338,4338,22,9,10
8393,8393,32,12,14
8423,8423,32,13,14
879,879,11,18,6
10250,10250,19,51,15
7607,7607,27,16,13
7575,7575,27,15,13
46,46,22,14,4
47,47,23,14,4
5338,5338,24,55,10
5314,5314,24,54,10
5591,5591,40,13,11
5569,5569,40,12,11
184,184,19,14,5
10754,10754,24,27,16
6586,6586,23,12,12
6613,6613,23,13,12
9364,9364,24,13,15
9363,9363,23,13,15
8480,8480,23,15,14
8446,8446,23,14,14
4487,4487,28,15,10
4461,4461,28,14,10
12889,12889,34,26,19
3516,3516,20,21,9
3515,3515,19,21,9
3550,3550,8,23,9
3551,3551,9,23,9
255,255,22,17,5
229,229,22,16,5
10312,10312,22,11,16
76,76,18,18,4
6905,6905,5,28,12
5428,5428,23,7,11
5429,5429,24,7,11
7656,7656,24,18,13
7677,7677,24,19,13
5840,5840,10,26,11
4341,4341,25,9,10
4366,4366,25,10,10
2255,2255,34,6,8
2270,2270,32,7,8
5451,5451,23,8,11
1583,1583,8,16,7
1584,1584,9,16,7
4436,4436,27,13,10
4415,4415,27,12,10
7162,7162,23,48,12
7161,7161,16,48,12
5359,5359,24,56,10
580,580,44,31,5
562,562,44,30,5
10504,10504,23,18,16
10534,10534,23,19,16
766,766,27,14,6
796,796,27,15,6
4455,4455,21,14,10
8384,8384,23,12,14
1030,1030,12,22,6
995,995,12,21,6
7143,7143,24,47,12
12203,12203,24,18,18
12178,12178,23,17,18
1088,1088,42,23,6
1087,1087,41,23,6
913,913,7,19,6
875,875,7,18,6
4508,4508,23,16,10
4485,4485,25,15,10
9394,9394,23,14,15
5611,5611,40,14,11
5592,5592,41,13,11
3406,3406,28,16,9
11877,11877,25,37,17
11901,11901,25,38,17
3430,3430,29,17,9
3407,3407,29,16,9
8572,8572,23,18,14
8546,8546,23,17,14
1882,1882,37,25,7
1883,1883,42,25,7
9395,9395,24,14,15
760,760,21,14,6
736,736,21,13,6
6551,6551,14,11,12
6521,6521,14,10,12
11239,11239,20,49,16
11238,11238,19,49,16
846,846,13,17,6
816,816,13,16,6
5409,5409,23,6,11
10473,10473,23,17,16
412,412,11,23,5
11305,11305,32,14,17
11331,11331,37,15,17
3115,3115,14,51,8
3125,3125,14,52,8
4417,4417,29,12,10
4438,4438,29,13,10
8448,8448,25,14,14
8482,8482,25,15,14
4822,4822,21,30,10
4851,4851,21,31,10
5452,5452,24,8,11
5478,5478,24,9,11
12202,12202,23,18,18
6756,6756,10,19,12
5709,5709,10,19,11
1767,1767,43,21,7
1768,1768,44,21,7
4849,4849,19,31,10
4820,4820,19,30,10
1272,1272,16,34,6
1273,1273,17,34,6
11304,11304,31,14,17
11303,11303,30,14,17
4002,4002,8,44,9
4001,4001,44,43,9
